Original comparison,Species,Majority protein IDs,Fasta headers,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank
50Vs0.5,yeast,P26783,>sp|P26783|RS5_YEAST 40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3,8,8,8,41.8,41.8,41.8,25.038,2.83E+08,2.83E+08,3.03E+08,2.67E+08,2.64E+08,2.51E+08,28.0746,28.0752,28.1752,27.9901,27.9752,27.9057,1.15368,0.070197234,0.282186431,0.151332,0.125295047,0.125295047,0,0,0,653
50Vs5,yeast,A6ZRX0;P24783,>sp|A6ZRX0|DBP2_YEAS7 ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain YJM789) GN=DBP2 PE=3 SV=1;>sp|P24783|DBP2_YEAST ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP2 PE=1 SV=1,1,1,1,2.2,2.2,2.2,60.985,2.27E+06,2.70E+06,2.27E+06,2.80E+06,2.26E+06,2.32E+06,21.1146,21.3631,21.1164,21.4145,21.1099,21.1469,0.066663,0.85770314,0.922355896,-0.0257333,0.12528141,0.12528141,0,0,0,2441
50Vs0.5,yeast,P40395,>sp|P40395|RIC1_YEAST Protein RIC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIC1 PE=1 SV=1,1,1,1,1.7,1.7,1.7,121.65,2.03E+07,1.89E+07,1.63E+07,,3.25E+07,2.92E+07,24.2734,24.1717,23.9543,22.1921,24.9544,24.8006,0.0542767,0.882517447,0.936381689,0.150768,0.124868659,0.124868659,0,0,0,2474
50Vs0.5,yeast,P07560,>sp|P07560|SEC4_YEAST Ras-related protein SEC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC4 PE=1 SV=1,4,3,3,26,20.9,20.9,23.505,1.75E+07,1.77E+07,1.88E+07,1.57E+07,1.60E+07,1.69E+07,24.0592,24.0749,24.1652,23.9047,23.9346,24.0079,1.10252,0.078973248,0.28832375,0.1507,0.12481725,0.12481725,0,0,0,719
50Vs0.5,yeast,P38013,>sp|P38013|AHP1_YEAST Peroxiredoxin type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AHP1 PE=1 SV=4,11,11,11,81.2,81.2,81.2,19.114,1.40E+09,1.48E+09,1.43E+09,1.57E+09,1.64E+09,1.67E+09,30.3785,30.4631,30.4145,30.5473,30.6098,30.6371,1.41665,0.038313339,0.222505563,-0.179367,-0.124715945,0.124715945,1,0,0,452
50Vs0.5,yeast,Q6Q546,>sp|Q6Q546|HUB1_YEAST Ubiquitin-like modifier HUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HUB1 PE=1 SV=2,2,2,2,28.8,28.8,28.8,8.2715,6.23E+06,3.97E+06,4.88E+06,,4.55E+06,4.05E+06,22.5707,21.9192,22.2184,22.1921,22.1159,21.9494,0.272952,0.533393845,0.703597409,0.150302,0.124516359,0.124516359,0,0,0,1990
50Vs0.5,yeast,P39078,>sp|P39078|TCPD_YEAST T-complex protein 1 subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT4 PE=1 SV=2,1,1,1,2.8,2.8,2.8,57.603,5.32E+06,5.73E+06,6.32E+06,,5.57E+06,5.28E+06,22.3433,22.4503,22.592,22.1921,22.41,22.3333,0.586307,0.25923462,0.486064913,0.150068,0.124339453,0.124339453,0,0,0,1400
50Vs5,yeast,P53250,>sp|P53250|TWF1_YEAST Twinfilin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TWF1 PE=1 SV=1,2,2,2,9,9,9,37.07,3.52E+06,3.26E+06,3.51E+06,,4.25E+06,3.86E+06,21.747,21.635,21.7435,22.0116,22.0205,21.8784,1.32748,0.047045707,0.246005938,-0.261681,-0.124203207,0.124203207,1,0,0,502
50Vs5,yeast,P07263,">sp|P07263|SYH_YEAST Histidine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTS1 PE=1 SV=2",6,5,5,16.8,15.2,15.2,59.952,2.72E+07,2.64E+07,2.75E+07,2.38E+07,3.04E+07,2.88E+07,24.695,24.6536,24.7138,24.5068,24.8564,24.781,0.0841874,0.823782572,0.902139863,-0.0272662,0.123660564,0.123660564,0,0,0,2397
50Vs5,yeast,Q04304,>sp|Q04304|YMY0_YEAST UPF0659 protein YMR090W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR090W PE=1 SV=1,2,2,2,9.7,9.7,9.7,24.882,4.65E+06,2.64E+06,3.27E+06,,3.31E+06,3.03E+06,22.1485,21.3299,21.641,22.0116,21.6596,21.5304,0.0312455,0.930581683,0.962860433,-0.0274124,0.123505976,0.123505976,0,0,0,2537
50Vs5,yeast,P32288,>sp|P32288|GLNA_YEAST Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN1 PE=1 SV=4,12,12,12,41.1,41.1,41.1,41.766,1.60E+08,1.67E+08,1.65E+08,1.87E+08,1.98E+08,2.04E+08,27.2548,27.3116,27.2947,27.4807,27.5622,27.601,1.65992,0.021881647,0.194709567,-0.260933,-0.123412293,0.123412293,1,0,0,295
50Vs0.5,yeast,P07267,>sp|P07267|CARP_YEAST Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP4 PE=1 SV=1,10,10,10,35.6,35.6,35.6,44.498,3.20E+08,3.14E+08,3.27E+08,3.10E+08,3.10E+08,2.51E+08,28.2515,28.2284,28.2849,28.209,28.2082,27.9014,0.54068,0.287951934,0.50866341,0.148733,0.123330183,0.123330183,0,0,0,1486
25Vs12.5,yeast,P40414,>sp|P40414|TPM2_YEAST Tropomyosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM2 PE=1 SV=1,1,1,1,11.8,11.8,11.8,19.093,9.95E+06,9.93E+06,9.02E+06,1.03E+07,7.89E+06,1.06E+07,23.2456,23.2439,23.1044,23.3027,22.9114,23.3351,0.0329144,0.927012521,0.960682142,0.0149002,0.123297307,0.123297307,0,0,0,2533
50Vs0.5,yeast,P39533,>sp|P39533|ACON2_YEAST Probable aconitate hydratase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1,5,4,4,6.3,5.4,5.4,86.582,8.72E+06,8.18E+06,7.09E+06,9.78E+06,9.04E+06,8.25E+06,23.0552,22.9639,22.7572,23.2207,23.1086,22.9764,0.587395,0.258585995,0.486237992,-0.176467,-0.122523523,0.122523523,0,0,0,1396
50Vs5,yeast,P46990,>sp|P46990|RL17B_YEAST 60S ribosomal protein L17-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL17B PE=1 SV=2,3,3,1,21.2,21.2,5.4,20.551,5.61E+06,5.18E+06,6.48E+06,5.23E+06,6.07E+06,6.29E+06,22.4193,22.3035,22.628,22.3193,22.5331,22.5838,0.075301,0.840812191,0.911661298,-0.0284665,0.1223914,0.1223914,0,0,0,2421
50Vs0.5,yeast,Q01560,>sp|Q01560|NOP3_YEAST Nucleolar protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPL3 PE=1 SV=1,5,5,5,21,21,21,45.407,9.08E+07,9.56E+07,9.16E+07,1.05E+08,1.07E+08,1.01E+08,26.4354,26.5102,26.4485,26.6512,26.6775,26.5942,1.45991,0.034680871,0.219366957,-0.176266,-0.122371565,0.122371565,1,0,0,415
50Vs0.5,yeast,P05030;P19657,>sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2;>sp|P19657|PMA2_YEAST Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA2 PE=1 SV=3,13,13,13,17.4,17.4,17.4,99.618,2.18E+08,2.17E+08,2.39E+08,1.93E+08,2.07E+08,2.09E+08,27.703,27.6919,27.8303,27.5243,27.6219,27.6367,0.915379,0.121512512,0.340053672,0.147433,0.122347373,0.122347373,0,0,0,938
50Vs0.5,yeast,P13298,>sp|P13298|PYRE_YEAST Orotate phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA5 PE=1 SV=2,8,8,6,52.7,52.7,43.4,24.664,3.81E+07,3.92E+07,3.55E+07,3.77E+07,3.12E+07,3.32E+07,25.1836,25.2248,25.0825,25.1699,24.8945,24.9846,0.604727,0.248469451,0.477476068,0.147299,0.122246068,0.122246068,0,0,0,1366
50Vs5,yeast,Q04013,>sp|Q04013|YHM2_YEAST Mitochondrial DNA replication protein YHM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHM2 PE=1 SV=1,3,3,3,13.1,13.1,13.1,34.184,4.71E+06,5.21E+06,5.01E+06,4.37E+06,5.09E+06,5.86E+06,22.1684,22.3125,22.2556,22.0605,22.2798,22.4822,0.0733976,0.84450534,0.913401944,-0.0286668,0.122179608,0.122179608,0,0,0,2427
25Vs12.5,yeast,P39073,>sp|P39073|SSN3_YEAST Meiotic mRNA stability protein kinase SSN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSN3 PE=1 SV=3,1,1,1,1.6,1.6,1.6,62.846,3.38E+07,3.82E+07,3.64E+07,3.83E+07,3.24E+07,3.68E+07,25.0107,25.1868,25.1193,25.1898,24.9495,25.1341,0.0527164,0.885693791,0.936722885,0.0144672,0.12199199,0.12199199,0,0,0,2482
25Vs12.5,yeast,P00330,>sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,17,17,11,60.3,60.3,37.9,36.849,1.34E+09,1.32E+09,1.28E+09,1.34E+09,1.39E+09,1.40E+09,30.32,30.2955,30.2526,30.3161,30.3724,30.379,0.850067,0.141231964,0.364895578,-0.0664666,-0.121990181,0.121990181,0,0,0,1016
50Vs0.5,yeast,P40202,>sp|P40202|CCS1_YEAST Superoxide dismutase 1 copper chaperone OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCS1 PE=1 SV=1,2,2,2,11.2,11.2,11.2,27.33,1.95E+07,1.94E+07,1.94E+07,1.84E+07,1.67E+07,1.76E+07,24.2152,24.2107,24.2064,24.1343,23.992,24.0652,1.15301,0.070305613,0.281759137,0.146933,0.121969369,0.121969369,0,0,0,655
50Vs0.5,yeast,P43616,>sp|P43616|DUG1_YEAST Cys-Gly metallodipeptidase DUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUG1 PE=1 SV=1,12,12,12,38.3,38.3,38.3,52.871,1.68E+08,1.71E+08,1.67E+08,1.87E+08,1.96E+08,1.88E+08,27.3241,27.3463,27.3135,27.4816,27.5435,27.4853,1.80408,0.015700736,0.173169878,-0.1755,-0.121792463,0.121792463,1,0,0,238
50Vs0.5,yeast,P15625,>sp|P15625|SYFA_YEAST Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRS2 PE=1 SV=3,10,10,10,26,26,26,57.511,1.10E+08,9.90E+07,9.59E+07,8.96E+07,8.89E+07,9.66E+07,26.7096,26.5613,26.5155,26.4163,26.4062,26.5261,0.762984,0.172590148,0.403068627,0.145933,0.121213362,0.121213362,0,0,0,1124
50Vs0.5,yeast,P06208,>sp|P06208|LEU1_YEAST 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1,16,16,16,31.3,31.3,31.3,68.408,1.20E+08,1.04E+08,9.59E+07,1.18E+08,1.18E+08,1.24E+08,26.8407,26.6306,26.5152,26.81,26.8192,26.8808,0.66468,0.216431266,0.449116264,-0.1745,-0.121036456,0.121036456,0,0,0,1265
25Vs12.5,yeast,P40212;Q12690,>sp|P40212|RL13B_YEAST 60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1;>sp|Q12690|RL13A_YEAST 60S ribosomal protein L13-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13A PE=1 SV=1,11,11,11,53.3,53.3,53.3,22.525,3.45E+08,3.76E+08,3.75E+08,3.66E+08,3.70E+08,3.49E+08,28.3608,28.4876,28.4839,28.4465,28.463,28.3806,0.0970197,0.799797975,0.883615187,0.0140667,0.120784647,0.120784647,0,0,0,2376
50Vs5,yeast,P41939,>sp|P41939|IDHC_YEAST Isocitrate dehydrogenase [NADP] cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP2 PE=1 SV=2,12,9,9,34.7,28.9,28.9,46.562,5.85E+07,5.81E+07,5.60E+07,6.44E+07,6.89E+07,7.36E+07,25.8031,25.7933,25.7384,25.9397,26.0378,26.1325,1.31274,0.048669849,0.248557109,-0.258399,-0.120732911,0.120732911,1,0,0,514
25Vs12.5,yeast,P40495,">sp|P40495|LYS12_YEAST Homoisocitrate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS12 PE=1 SV=1",5,5,5,15.1,15.1,15.1,40.068,2.23E+07,2.28E+07,2.26E+07,2.14E+07,2.14E+07,2.44E+07,24.409,24.4425,24.4298,24.3493,24.3477,24.5422,0.0706974,0.849772358,0.916455399,0.014033,0.120683055,0.120683055,0,0,0,2434
50Vs0.5,yeast,P38328,>sp|P38328|ARPC1_YEAST Actin-related protein 2/3 complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC40 PE=1 SV=1,2,2,2,10.2,10.2,10.2,42.474,3.11E+07,2.99E+07,2.71E+07,3.18E+07,3.18E+07,3.57E+07,24.8918,24.8326,24.6898,24.9228,24.9239,25.0884,0.778718,0.16644931,0.39576942,-0.173634,-0.120381753,0.120381753,0,0,0,1104
50Vs5,yeast,P0C0W9;Q3E757,>sp|P0C0W9|RL11A_YEAST 60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2;>sp|Q3E757|RL11B_YEAST 60S ribosomal protein L11-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11B PE=1 SV=3,7,7,7,43.7,43.7,43.7,19.719,1.42E+08,1.54E+08,1.39E+08,1.47E+08,1.51E+08,1.46E+08,27.0803,27.1953,27.0509,27.1296,27.1671,27.1211,0.237866,0.578274444,0.736164121,-0.0304343,0.120310702,0.120310702,0,0,0,2062
50Vs0.5,yeast,P29547,>sp|P29547|EF1G1_YEAST Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAM1 PE=1 SV=2,9,7,7,24.8,22.4,22.4,47.087,9.79E+07,1.16E+08,9.54E+07,8.81E+07,9.84E+07,9.27E+07,26.545,26.7928,26.508,26.3934,26.5516,26.4668,0.543085,0.286361745,0.507562174,0.144667,0.120256256,0.120256256,0,0,0,1481
50Vs0.5,yeast,P38088,">sp|P38088|SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3",13,13,13,24.3,24.3,24.3,78.183,1.23E+08,1.17E+08,1.15E+08,1.39E+08,1.30E+08,1.32E+08,26.8683,26.808,26.7783,27.047,26.9559,26.9718,1.33558,0.046176392,0.244874808,-0.173367,-0.120179899,0.120179899,1,0,0,495
50Vs0.5,yeast,P53852,>sp|P53852|SYC_YEAST Cysteine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL247W PE=1 SV=1,5,5,5,7.2,7.2,7.2,87.529,2.81E+07,2.98E+07,2.87E+07,3.07E+07,3.39E+07,3.32E+07,24.7461,24.8289,24.7748,24.8703,25.0159,24.9826,1.12431,0.075108658,0.285739458,-0.173,-0.119902444,0.119902444,0,0,0,690
50Vs0.5,yeast,P0CX80;P0CX81,>sp|P0CX80|MTCU1_YEAST Copper metallothionein 1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-1 PE=1 SV=1;>sp|P0CX81|MTCU2_YEAST Copper metallothionein 1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-2 PE=1 SV=1,2,2,2,39.3,39.3,39.3,6.6504,6.02E+07,5.73E+07,5.72E+07,6.63E+07,6.47E+07,6.59E+07,25.8432,25.7714,25.7693,25.9827,25.9464,25.9736,1.64025,0.022895493,0.19324974,-0.172933,-0.119851792,0.119851792,1,0,0,311
50Vs0.5,yeast,P47176,">sp|P47176|BCA2_YEAST Branched-chain-amino-acid aminotransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAT2 PE=1 SV=1",11,9,9,38.8,31.9,31.9,41.624,1.32E+08,1.26E+08,1.21E+08,1.45E+08,1.35E+08,1.47E+08,26.9763,26.9041,26.8521,27.1125,27.0038,27.1349,1.06669,0.085764982,0.30098005,-0.172899,-0.119826087,0.119826087,0,0,0,748
50Vs5,yeast,P48589,>sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1,8,8,8,60.1,60.1,60.1,15.471,2.18E+08,2.34E+08,2.38E+08,2.31E+08,2.25E+08,2.49E+08,27.6992,27.8001,27.8255,27.7813,27.7468,27.8894,0.189749,0.646027492,0.778614402,-0.0308997,0.119818601,0.119818601,0,0,0,2178
25Vs12.5,yeast,P38707,">sp|P38707|SYNC_YEAST Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1",13,13,13,28.3,28.3,28.3,62.206,1.53E+08,1.60E+08,1.46E+08,1.48E+08,1.54E+08,1.53E+08,27.1906,27.2542,27.1255,27.1418,27.1954,27.192,0.113491,0.770032402,0.861242034,0.0136998,0.119678594,0.119678594,0,0,0,2347
25Vs12.5,yeast,P05756,>sp|P05756|RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3,6,6,6,35.1,35.1,35.1,17.029,1.77E+08,1.99E+08,1.83E+08,1.87E+08,1.86E+08,1.79E+08,27.398,27.5677,27.4476,27.4812,27.472,27.4191,0.0842156,0.823729084,0.902457782,0.0136668,0.119579113,0.119579113,0,0,0,2396
50Vs5,yeast,P22146,">sp|P22146|GAS1_YEAST 1,3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAS1 PE=1 SV=2",2,2,2,6.6,6.6,6.6,59.582,1.57E+07,1.59E+07,1.90E+07,1.85E+07,2.22E+07,1.98E+07,23.9055,23.9203,24.1816,24.1385,24.405,24.2356,0.788674,0.162676942,0.392488026,-0.257233,-0.119500014,0.119500014,0,0,0,1088
50Vs5,yeast,P19454,>sp|P19454|CSK22_YEAST Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA2 PE=1 SV=2,2,2,2,7.4,7.4,7.4,39.403,5.25E+06,5.10E+06,5.67E+06,4.34E+06,5.95E+06,6.26E+06,22.323,22.2821,22.4342,22.0502,22.5048,22.5781,0.0595028,0.87196128,0.929690641,-0.0312665,0.119430757,0.119430757,0,0,0,2462
50Vs5,yeast,P46672,>sp|P46672|G4P1_YEAST GU4 nucleic-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC1 PE=1 SV=2,9,9,9,31.9,31.9,31.9,42.083,1.28E+08,1.33E+08,1.30E+08,1.49E+08,1.60E+08,1.59E+08,26.9358,26.9822,26.9515,27.1492,27.2507,27.241,1.74185,0.018119658,0.185797276,-0.257133,-0.119394277,0.119394277,1,0,0,256
50Vs5,yeast,P31116,>sp|P31116|DHOM_YEAST Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM6 PE=1 SV=1,13,13,13,46.2,46.2,46.2,38.502,1.55E+08,1.62E+08,1.68E+08,1.87E+08,1.90E+08,2.03E+08,27.2122,27.2726,27.3234,27.4815,27.499,27.598,1.47076,0.033825171,0.219237219,-0.256767,-0.119007279,0.119007279,1,0,0,405
25Vs12.5,yeast,P32463,">sp|P32463|ACPM_YEAST Acyl carrier protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACP1 PE=1 SV=1",1,1,1,12.8,12.8,12.8,13.943,7.96E+06,8.19E+06,8.73E+06,8.62E+06,8.96E+06,8.45E+06,22.9249,22.9663,23.0571,23.0389,23.0957,23.0099,0.530786,0.294587286,0.513473856,-0.0653998,-0.118774217,0.118774217,0,0,0,1506
50Vs5,yeast,P36139,>sp|P36139|PET10_YEAST Protein PET10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET10 PE=1 SV=3,8,8,8,42,42,42,31.246,7.29E+07,6.63E+07,6.87E+07,7.17E+07,7.21E+07,6.86E+07,26.1196,25.9831,26.0332,26.0965,26.103,26.0324,0.254155,0.556986924,0.719178887,-0.0320002,0.118654962,0.118654962,0,0,0,2033
25Vs12.5,yeast,P22141,>sp|P22141|PSB2_YEAST Proteasome component C11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE1 PE=1 SV=2,2,2,2,9.6,9.6,9.6,22.516,9.13E+06,1.10E+07,1.06E+07,1.01E+07,1.02E+07,1.01E+07,23.1224,23.3952,23.3425,23.2683,23.2826,23.2693,0.0514386,0.888303555,0.938348825,0.0133006,0.11847517,0.11847517,0,0,0,2485
25Vs12.5,yeast,Q08723,>sp|Q08723|RPN8_YEAST 26S proteasome regulatory subunit RPN8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN8 PE=1 SV=3,4,4,4,15.7,15.7,15.7,38.312,1.46E+07,1.78E+07,1.57E+07,1.61E+07,1.76E+07,1.40E+07,23.7968,24.0885,23.9047,23.944,24.0658,23.7404,0.0330919,0.92663372,0.960668845,0.0132662,0.118371468,0.118371468,0,0,0,2532
50Vs5,yeast,P25293,>sp|P25293|NAP1_YEAST Nucleosome assembly protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAP1 PE=1 SV=2,5,5,5,19.2,19.2,19.2,47.884,2.07E+07,2.05E+07,2.09E+07,2.31E+07,1.90E+07,2.17E+07,24.304,24.2919,24.3158,24.4591,24.1768,24.3735,0.133603,0.735185614,0.837977523,-0.0325667,0.118055961,0.118055961,0,0,0,2303
50Vs5,yeast,P39683,>sp|P39683|NPT1_YEAST Nicotinate phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPT1 PE=1 SV=3,3,3,3,8.2,8.2,8.2,49.018,3.71E+06,,2.84E+06,4.03E+06,3.41E+06,3.20E+06,21.8235,21.8907,21.4387,21.941,21.7005,21.6091,0.0618084,0.867344442,0.927404954,-0.0325769,0.118045176,0.118045176,0,0,0,2455
25Vs12.5,yeast,P35997;P38711,>sp|P35997|RS27_YEAST 40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27A PE=1 SV=1;>sp|P38711|RS27B_YEAST 40S ribosomal protein S27-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27B PE=1 SV=1,3,3,3,37.8,37.8,37.8,8.8793,1.51E+08,1.99E+08,2.13E+08,2.18E+08,1.94E+08,1.73E+08,27.1683,27.5683,27.6668,27.7021,27.5323,27.3643,0.122942,0.753456181,0.849580101,-0.0651004,-0.117871649,0.117871649,0,0,0,2328
25Vs12.5,yeast,P05317,>sp|P05317|RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,9,9,9,33,33,33,33.717,3.80E+08,3.69E+08,3.54E+08,3.79E+08,3.82E+08,3.94E+08,28.5018,28.4593,28.401,28.4959,28.5087,28.5527,0.710015,0.194977726,0.42865706,-0.0650667,-0.117770058,0.117770058,0,0,0,1194
50Vs0.5,yeast,P00815,>sp|P00815|HIS2_YEAST Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3,8,8,8,15.5,15.5,15.5,87.72,5.71E+07,5.66E+07,5.80E+07,6.68E+07,6.28E+07,6.37E+07,25.7666,25.7551,25.7887,25.9935,25.9034,25.924,1.55583,0.027808016,0.201091023,-0.170167,-0.117760674,0.117760674,1,0,0,363
50Vs0.5,yeast,P38115,>sp|P38115|ARA1_YEAST D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1,5,5,5,21.2,21.2,21.2,38.883,6.20E+07,6.14E+07,6.04E+07,6.72E+07,7.09E+07,6.86E+07,25.8848,25.8709,25.8478,26.0016,26.0794,26.0325,1.67686,0.021044567,0.193831541,-0.17,-0.117634421,0.117634421,1,0,0,285
50Vs0.5,yeast,P38011,>sp|P38011|GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4,18,18,18,85.3,85.3,85.3,34.805,7.36E+08,7.33E+08,7.28E+08,8.39E+08,8.26E+08,8.06E+08,29.4548,29.449,29.4395,29.6434,29.6211,29.5869,2.00203,0.009953367,0.145153263,-0.169367,-0.117155868,0.117155868,1,0,0,180
50Vs5,yeast,P38431,>sp|P38431|IF5_YEAST Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF5 PE=1 SV=1,6,6,6,18,18,18,45.261,4.60E+07,4.53E+07,4.68E+07,5.22E+07,5.63E+07,5.63E+07,25.4541,25.4315,25.4811,25.6378,25.7474,25.7465,1.64357,0.022721134,0.193019341,-0.255,-0.117138902,0.117138902,1,0,0,309
25Vs12.5,yeast,P05755;O13516,>sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4;>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3,10,10,10,45.6,45.6,45.6,22.298,1.26E+08,1.46E+08,1.38E+08,1.33E+08,1.50E+08,1.46E+08,26.9108,27.1255,27.0371,26.9888,27.16,27.1191,0.294987,0.507005885,0.682507922,-0.0648333,-0.117066453,0.117066453,0,0,0,1950
