Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
25Vs12.5,Yeast,sp|P38219,11%,12%,13%,10%,12%,0,0,0,0,0,3,4,4,4,4,44175.9, Uncharacterized GTP-binding protein OLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLA1 PE=1 SV=1,2.50E+09,3.08E+09,3.23E+09,2.37E+09,2.33E+09,2.79E+09,31.22,31.52,31.59,31.14,31.12,31.38,0.61367,0.24341,0.54207,0.23177,0.09687,0.09687,0,0,0,1176,,,
50Vs0.5,Yeast,sp|P13517,5%,5%,5%,5%,9%,0,0,0,0,0,1,1,1,1,2,32630.4, F-actin-capping protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAP2 PE=1 SV=3,4.42E+08,2.64E+08,2.95E+08,2.85E+08,2.22E+08,2.32E+08,28.72,27.98,28.14,28.09,27.73,27.79,0.61354,0.24348,0.54178,0.41023,0.27839,0.27839,0,0,0,1177,,,
25Vs12.5,Yeast,sp|P07245,12%,12%,11%,11%,7%,0,0,0,0,0,7,8,7,7,5,102207.3," C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1",4.08E+09,4.99E+09,4.52E+09,4.08E+09,4.17E+09,4.07E+09,31.93,32.22,32.07,31.92,31.96,31.92,0.61341,0.24355,0.54148,0.13733,-0.08035,0.08035,0,0,0,1178,,,
25Vs12.5,Yeast,sp|P06787,22%,31%,31%,27%,25%,0,0,0,0,0,2,3,3,3,2,16135.5, Calmodulin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMD1 PE=1 SV=1,1.32E+09,1.65E+09,1.49E+09,1.41E+09,1.26E+09,1.27E+09,30.30,30.62,30.47,30.40,30.23,30.24,0.61138,0.24469,0.54356,0.17380,-0.01192,0.01192,0,0,0,1179,,,
50Vs5,Yeast,sp|P53334,0%,0%,4%,0%,0%,0,0,0,0,0,0,0,1,0,0,40172.2, Probable family 17 glucosidase SCW4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCW4 PE=1 SV=1,1.19E+08,9.83E+07,8.80E+07,1.01E+08,5.46E+07,7.03E+07,26.82,26.55,26.39,26.59,25.70,26.07,0.61110,0.24485,0.54344,0.46703,0.29920,0.29920,0,0,0,1180,,,
50Vs5,Yeast,sp|Q12164,0%,5%,5%,5%,5%,0,0,0,0,0,0,1,1,1,1,32187.7, Pore membrane protein of 33 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POM33 PE=1 SV=1,1.41E+08,1.47E+08,3.06E+08,2.92E+08,2.68E+08,2.78E+08,27.08,27.13,28.19,28.12,28.00,28.05,0.61099,0.24491,0.54313,-0.59330,-0.74410,0.74410,0,0,0,1181,,,
25Vs12.5,Yeast,sp|P00358,64%,60%,64%,59%,46%,14,12,13,12,12,5,4,4,4,2,35846.9, Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3,2.86E+11,3.63E+11,3.40E+11,2.96E+11,2.92E+11,2.88E+11,38.06,38.40,38.31,38.11,38.09,38.07,0.61024,0.24534,0.54360,0.16793,-0.02292,0.02292,0,0,0,1182,,,
25Vs12.5,Yeast,sp|P26637,12%,12%,12%,10%,13%,0,0,0,0,0,9,9,10,8,10,124147.3," Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1",3.54E+09,4.77E+09,3.98E+09,3.44E+09,3.61E+09,3.53E+09,31.72,32.15,31.89,31.68,31.75,31.72,0.60995,0.24550,0.54350,0.20650,0.04945,0.04945,0,0,0,1183,,,
25Vs12.5,Yeast,sp|P21304,0%,2%,0%,0%,0%,0,0,0,0,0,0,1,0,0,0,63804.4, Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PWP1 PE=1 SV=1,3.20E+07,1.15E+08,6.28E+07,2.92E+07,3.40E+07,3.72E+07,24.93,26.78,25.91,24.80,25.02,25.15,0.60983,0.24557,0.54319,0.88340,1.31972,1.31972,0,0,0,1184,,,
25Vs12.5,Yeast,"sp|A6ZL22,sp|B5VE42,sp|C7GQJ1,sp|P38248",6%,6%,6%,4%,5%,0,0,0,0,0,2,2,2,1,2,43769.8, Cell wall protein ECM33 OS=Saccharomyces cerevisiae (strain YJM789) GN=ECM33 PE=3 SV=2,1.20E+09,1.85E+09,1.31E+09,1.12E+09,1.23E+09,1.07E+09,30.16,30.79,30.28,30.07,30.19,30.00,0.60930,0.24586,0.54339,0.32570,0.27314,0.27314,0,0,0,1185,,,
25Vs12.5,Yeast,sp|P53184,22%,27%,29%,29%,25%,0,0,0,0,0,3,4,4,4,4,24993.4, Nicotinamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNC1 PE=1 SV=1,6.27E+09,8.58E+09,7.39E+09,6.43E+09,6.31E+09,6.32E+09,32.55,33.00,32.78,32.58,32.55,32.56,0.60824,0.24647,0.54427,0.21197,0.05971,0.05971,0,0,0,1186,,,
25Vs12.5,Yeast,sp|P15992,51%,54%,51%,44%,49%,0,0,0,0,0,7,8,7,6,7,23880.2, Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP26 PE=1 SV=3,5.49E+09,7.00E+09,5.94E+09,5.54E+09,5.26E+09,5.48E+09,32.35,32.71,32.47,32.37,32.29,32.35,0.60799,0.24661,0.54412,0.17143,-0.01636,0.01636,0,0,0,1187,,,
25Vs12.5,Yeast,sp|Q03161,10%,13%,12%,11%,10%,0,0,0,0,0,2,3,3,2,2,33956.4, Glucose-6-phosphate 1-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR099C PE=1 SV=1,1.63E+09,2.21E+09,1.81E+09,1.71E+09,1.53E+09,1.57E+09,30.61,31.04,30.75,30.67,30.52,30.55,0.60786,0.24668,0.54382,0.22080,0.07628,0.07628,0,0,0,1188,,,
25Vs12.5,Yeast,sp|P20049,0%,3%,0%,3%,0%,0,0,0,0,0,0,1,0,1,0,50925.1, Prephenate dehydrogenase [NADP(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYR1 PE=1 SV=2,1.20E+08,9.76E+07,1.49E+08,7.70E+07,7.16E+07,1.19E+08,26.84,26.54,27.15,26.20,26.09,26.83,0.60764,0.24681,0.54364,0.46720,0.53868,0.53868,0,0,0,1189,,,
50Vs5,Yeast,"sp|P0CX55,sp|P0CX56",50%,47%,43%,43%,61%,0,0,0,0,0,6,6,6,6,8,17037.9, 40S ribosomal protein S18-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS18A PE=1 SV=1,1.49E+10,1.35E+10,1.40E+10,1.20E+10,1.43E+10,1.16E+10,33.80,33.65,33.70,33.48,33.74,33.43,0.60657,0.24742,0.54453,0.16933,0.00628,0.00628,0,0,0,1190,,,
25Vs12.5,Yeast,sp|P22943,53%,51%,54%,51%,54%,0,0,0,0,0,6,5,5,6,5,11692.7, 12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP12 PE=1 SV=1,1.39E+10,1.87E+10,1.76E+10,1.44E+10,1.45E+10,1.41E+10,33.70,34.13,34.03,33.75,33.76,33.72,0.60656,0.24742,0.54408,0.21070,0.05733,0.05733,0,0,0,1191,,,
50Vs0.5,Yeast,sp|P38221,0%,0%,0%,3%,0%,0,0,0,0,0,0,0,0,1,0,51825.7, Phosphatidate cytidylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDS1 PE=1 SV=1,4.29E+07,6.71E+07,9.00E+07,9.59E+07,7.70E+07,1.14E+08,25.35,26.00,26.42,26.52,26.20,26.77,0.60533,0.24812,0.54517,-0.56727,-0.61705,0.61705,0,0,0,1192,,,
50Vs0.5,Yeast,sp|P07560,6%,6%,6%,6%,6%,0,0,0,0,0,1,1,1,1,1,23506.6, Ras-related protein SEC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC4 PE=1 SV=1,3.97E+08,3.33E+08,3.67E+08,3.21E+08,3.34E+08,3.46E+08,28.56,28.31,28.45,28.26,28.32,28.37,0.60435,0.24868,0.54594,0.12857,0.02037,0.02037,0,0,0,1193,,,
50Vs5,Yeast,sp|P32449,11%,13%,13%,14%,12%,0,0,0,0,0,3,3,4,4,4,39749.8," Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO4 PE=1 SV=2",3.26E+09,3.24E+09,3.24E+09,3.24E+09,3.08E+09,2.82E+09,31.60,31.60,31.59,31.59,31.52,31.39,0.60420,0.24877,0.54567,0.09443,-0.06741,0.06741,0,0,0,1194,,,
25Vs12.5,Yeast,sp|P08067,6%,0%,6%,6%,6%,0,0,0,0,0,1,0,1,1,1,23365.4," Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIP1 PE=1 SV=1",2.38E+08,3.35E+08,2.83E+08,2.45E+08,2.36E+08,2.42E+08,27.83,28.32,28.08,27.87,27.82,27.85,0.60395,0.24892,0.54553,0.23030,0.09411,0.09411,0,0,0,1195,,,
25Vs12.5,Yeast,"sp|A6ZYI0,sp|B3LG61,sp|P07170",18%,22%,19%,19%,22%,0,0,0,0,0,3,4,3,3,3,24255.8, Adenylate kinase 1 OS=Saccharomyces cerevisiae (strain YJM789) GN=ADK1 PE=3 SV=1,5.31E+09,7.06E+09,6.02E+09,5.34E+09,5.36E+09,5.31E+09,32.31,32.72,32.49,32.31,32.32,32.31,0.60347,0.24919,0.54568,0.19097,0.02030,0.02030,0,0,0,1196,,,
25Vs12.5,Yeast,sp|P26786,27%,29%,27%,29%,27%,1,1,1,1,1,2,2,2,2,2,21622.7, 40S ribosomal protein S7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7A PE=1 SV=4,6.16E+09,7.93E+09,7.14E+09,6.30E+09,6.19E+09,6.26E+09,32.52,32.89,32.73,32.55,32.53,32.54,0.60279,0.24958,0.54608,0.17093,-0.01729,0.01729,0,0,0,1197,,,
25Vs12.5,Yeast,sp|P32316,15%,18%,17%,16%,15%,0,0,0,0,0,5,5,5,5,4,58713.1, Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2,7.96E+09,1.03E+10,9.39E+09,8.24E+09,8.18E+09,5.64E+09,32.89,33.26,33.13,32.94,32.93,32.39,0.60278,0.24959,0.54563,0.33737,0.29503,0.29503,0,0,0,1198,,,
25Vs12.5,Yeast,sp|P06208,11%,7%,8%,9%,8%,0,0,0,0,0,4,2,3,3,3,68409.3, 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1,2.51E+09,3.21E+09,2.96E+09,2.27E+09,2.58E+09,2.67E+09,31.23,31.58,31.46,31.08,31.26,31.32,0.60220,0.24992,0.54590,0.20353,0.04388,0.04388,0,0,0,1199,,,
25Vs12.5,Yeast,sp|P35691,26%,31%,26%,28%,25%,0,0,0,0,0,5,6,5,5,4,18741.3, Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1,1.11E+10,1.50E+10,1.33E+10,1.17E+10,1.12E+10,1.11E+10,33.38,33.81,33.63,33.45,33.38,33.37,0.60152,0.25031,0.54630,0.20467,0.04601,0.04601,0,0,0,1200,,,
50Vs5,Yeast,sp|Q03161,10%,13%,12%,11%,10%,0,0,0,0,0,2,3,3,2,2,33956.4, Glucose-6-phosphate 1-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR099C PE=1 SV=1,1.75E+09,1.73E+09,1.66E+09,1.58E+09,1.67E+09,1.69E+09,30.71,30.69,30.63,30.55,30.64,30.65,0.60118,0.25050,0.54627,0.06170,-0.09962,0.09962,0,0,0,1201,,,
25Vs12.5,Yeast,sp|P30624,6%,6%,6%,5%,8%,0,0,0,0,0,3,3,2,2,3,77868.1, Long-chain-fatty-acid--CoA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA1 PE=1 SV=1,1.21E+09,1.93E+09,1.36E+09,1.13E+09,1.19E+09,1.19E+09,30.17,30.85,30.34,30.08,30.14,30.14,0.60104,0.25059,0.54600,0.32793,0.27733,0.27733,0,0,0,1202,,,
25Vs12.5,Yeast,sp|Q12164,0%,5%,5%,5%,5%,0,0,0,0,0,0,1,1,1,1,32187.7, Pore membrane protein of 33 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POM33 PE=1 SV=1,2.60E+08,3.85E+08,3.19E+08,2.80E+08,2.67E+08,2.31E+08,27.95,28.52,28.25,28.06,27.99,27.78,0.60094,0.25065,0.54567,0.29493,0.21540,0.21540,0,0,0,1203,,,
25Vs12.5,Yeast,"sp|P0C0T4,sp|Q3E792",10%,10%,10%,10%,19%,0,0,0,0,0,1,1,1,1,2,12009.9, 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25B PE=1 SV=1,1.34E+09,2.23E+09,1.78E+09,1.38E+09,1.35E+09,1.41E+09,30.32,31.05,30.73,30.36,30.33,30.39,0.60073,0.25076,0.54548,0.34190,0.30354,0.30354,0,0,0,1204,,,
50Vs0.5,Yeast,sp|P43598,9%,0%,0%,0%,0%,0,0,0,0,0,1,0,0,0,0,21783.2, Inhibitor of glycogen debranching 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IGD1 PE=1 SV=1,4.38E+07,2.68E+07,3.62E+07,4.51E+07,4.02E+07,4.91E+07,25.38,24.68,25.11,25.43,25.26,25.55,0.60018,0.25109,0.54572,-0.35513,-0.42273,0.42273,0,0,0,1205,,,
50Vs5,Yeast,sp|P32895,0%,3%,3%,3%,0%,0,0,0,0,0,0,1,1,1,0,47048.4, Ribose-phosphate pyrophosphokinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS1 PE=1 SV=1,7.33E+07,2.93E+07,6.44E+07,5.48E+07,1.44E+08,1.32E+08,26.13,24.80,25.94,25.71,27.11,26.97,0.60009,0.25114,0.54538,-0.97113,-1.11586,1.11586,0,0,0,1206,,,
25Vs12.5,Yeast,"sp|P0C0W1,sp|Q3E7Y3",26%,14%,22%,22%,28%,0,0,0,0,0,3,2,2,2,3,14626.5, 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2,2.09E+09,2.93E+09,2.40E+09,2.11E+09,2.10E+09,2.09E+09,30.96,31.45,31.16,30.97,30.97,30.96,0.59981,0.25130,0.54528,0.22620,0.08642,0.08642,0,0,0,1207,,,
50Vs0.5,Yeast,"sp|P00424,sp|P00425",9%,9%,9%,0%,0%,0,0,0,0,0,1,1,1,0,0,17197.5," Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX5A PE=1 SV=1",1.45E+08,1.98E+08,1.96E+08,1.57E+08,1.53E+08,1.39E+08,27.11,27.56,27.55,27.23,27.19,27.05,0.59877,0.25190,0.54613,0.24860,0.13033,0.13033,0,0,0,1208,,,
50Vs5,Yeast,"sp|P0CX43,sp|P0CX44",16%,16%,12%,12%,8%,0,0,0,0,0,3,3,2,2,1,24486.3, 60S ribosomal protein L1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL1A PE=1 SV=1,1.01E+10,9.88E+09,9.65E+09,1.01E+10,1.14E+10,1.02E+10,33.24,33.20,33.17,33.23,33.40,33.25,0.59818,0.25224,0.54642,-0.09250,-0.25134,0.25134,0,0,0,1209,,,
25Vs12.5,Yeast,sp|P39990,19%,19%,19%,19%,19%,0,0,0,0,0,1,1,1,1,1,13569.4, 13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNU13 PE=1 SV=1,1.09E+09,1.28E+09,1.17E+09,1.08E+09,1.10E+09,1.10E+09,30.02,30.25,30.12,30.01,30.04,30.03,0.59774,0.25250,0.54653,0.10580,-0.13953,0.13953,0,0,0,1210,,,
50Vs0.5,Yeast,sp|Q04178,5%,5%,5%,5%,5%,0,0,0,0,0,1,1,1,1,1,25191.5, Hypoxanthine-guanine phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPT1 PE=1 SV=1,1.99E+08,1.58E+08,1.83E+08,1.92E+08,2.06E+08,2.05E+08,27.57,27.24,27.45,27.52,27.62,27.61,0.59773,0.25250,0.54608,-0.16397,-0.24761,0.24761,0,0,0,1211,,,
50Vs5,Yeast,sp|P37012,13%,15%,15%,14%,16%,0,0,0,0,0,5,5,6,5,6,63091.2, Phosphoglucomutase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGM2 PE=1 SV=1,2.96E+09,2.74E+09,3.11E+09,2.79E+09,2.81E+09,2.52E+09,31.46,31.35,31.53,31.38,31.39,31.23,0.59770,0.25252,0.54567,0.11640,-0.04580,0.04580,0,0,0,1212,,,
50Vs0.5,Yeast,sp|P40582,6%,7%,7%,8%,12%,0,0,0,0,0,1,1,1,2,2,26796.4, Glutathione S-transferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTT1 PE=1 SV=1,5.24E+08,5.30E+08,4.97E+08,5.02E+08,5.01E+08,4.99E+08,28.96,28.98,28.89,28.90,28.90,28.90,0.59760,0.25258,0.54535,0.04470,-0.05646,0.05646,0,0,0,1213,,,
25Vs12.5,Yeast,sp|P0C0V8,23%,26%,27%,39%,32%,1,3,3,4,3,0,0,0,0,0,9745.9, 40S ribosomal protein S21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS21A PE=1 SV=1,3.55E+09,5.18E+09,4.50E+09,3.48E+09,3.64E+09,3.81E+09,31.73,32.27,32.07,31.70,31.76,31.83,0.59735,0.25272,0.54521,0.25930,0.14853,0.14853,0,0,0,1214,,,
50Vs5,Yeast,"sp|P46784,sp|Q08745",24%,17%,24%,17%,17%,0,0,0,0,0,1,1,1,1,1,12739.7, 40S ribosomal protein S10-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10B PE=1 SV=1,2.96E+09,2.94E+09,3.18E+09,2.93E+09,2.92E+09,2.85E+09,31.46,31.46,31.57,31.45,31.44,31.41,0.59689,0.25299,0.54534,0.06147,-0.09985,0.09985,0,0,0,1215,,,
50Vs0.5,Yeast,sp|P33297,4%,7%,4%,2%,2%,0,0,0,0,0,1,2,1,1,1,48257.2, 26S protease regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT5 PE=1 SV=3,4.25E+08,3.68E+08,3.48E+08,3.29E+08,3.35E+08,3.60E+08,28.66,28.45,28.37,28.29,28.32,28.42,0.59648,0.25323,0.54540,0.15090,0.04083,0.04083,0,0,0,1216,,,
25Vs12.5,Yeast,sp|P38912,15%,15%,15%,15%,15%,0,0,0,0,0,2,2,2,2,2,17435.7, Eukaryotic translation initiation factor 1A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF11 PE=1 SV=1,3.18E+08,4.73E+08,4.23E+08,3.36E+08,3.49E+08,2.94E+08,28.24,28.82,28.66,28.32,28.38,28.13,0.59615,0.25342,0.54537,0.29600,0.21741,0.21741,0,0,0,1217,,,
50Vs5,Yeast,sp|P22202,15%,16%,13%,17%,18%,8,9,8,9,9,2,2,1,2,2,69652.7, Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3,4.64E+10,4.48E+10,4.01E+10,3.53E+10,4.14E+10,4.11E+10,35.43,35.38,35.22,35.04,35.27,35.26,0.59604,0.25349,0.54506,0.15690,-0.00595,0.00595,0,0,0,1218,,,
25Vs12.5,Yeast,sp|P39101,4%,4%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,44856.8, Protein CAJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAJ1 PE=1 SV=1,4.00E+08,2.37E+08,8.79E+07,3.60E+08,4.49E+08,4.37E+08,28.58,27.82,26.39,28.42,28.74,28.70,0.59546,0.25383,0.54534,-1.02830,-2.26778,2.26778,0,0,0,1219,,,
50Vs5,Yeast,sp|P40462,0%,0%,2%,0%,0%,0,0,0,0,0,0,0,1,0,0,107727.7, Protein TMA108 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA108 PE=1 SV=1,9.41E+07,2.93E+07,2.28E+07,8.34E+07,7.22E+07,8.43E+07,26.49,24.80,24.44,26.31,26.11,26.33,0.59516,0.25400,0.54527,-1.00537,-1.14955,1.14955,0,0,0,1220,,,
50Vs0.5,Yeast,sp|P06169,62%,63%,61%,65%,61%,0,0,0,0,0,25,26,24,28,25,61496.9, Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7,3.01E+11,3.20E+11,3.05E+11,2.95E+11,2.89E+11,3.06E+11,38.13,38.22,38.15,38.10,38.07,38.15,0.59514,0.25402,0.54486,0.05713,-0.04507,0.04507,0,0,0,1221,,,
50Vs0.5,Yeast,sp|P53250,5%,5%,0%,5%,5%,0,0,0,0,0,1,1,0,1,1,37072.5, Twinfilin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TWF1 PE=1 SV=1,1.67E+08,1.44E+08,3.42E+08,1.35E+08,1.35E+08,1.27E+08,27.31,27.10,28.35,27.01,27.00,26.92,0.59407,0.25464,0.54575,0.61193,0.46316,0.46316,0,0,0,1222,,,
50Vs0.5,Yeast,sp|P18544,4%,4%,4%,4%,4%,0,0,0,0,0,1,1,1,1,1,46682.7," Acetylornithine aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG8 PE=1 SV=1",9.11E+07,9.34E+07,9.17E+07,7.68E+07,9.39E+07,8.13E+07,26.44,26.48,26.45,26.19,26.49,26.28,0.59351,0.25497,0.54601,0.13773,0.02877,0.02877,0,0,0,1223,,,
50Vs0.5,Yeast,sp|P80235,2%,2%,2%,2%,0%,0,0,0,0,0,1,1,1,1,0,77767.4, Putative mitochondrial carnitine O-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAT1 PE=1 SV=2,8.62E+07,7.33E+07,9.41E+07,6.51E+07,8.20E+07,6.92E+07,26.36,26.13,26.49,25.96,26.29,26.04,0.59226,0.25570,0.54713,0.22897,0.11234,0.11234,0,0,0,1224,,,
50Vs0.5,Yeast,sp|P34227,18%,13%,15%,12%,13%,0,0,0,0,0,4,3,3,2,3,29496.7, Mitochondrial peroxiredoxin PRX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRX1 PE=1 SV=1,1.93E+09,2.63E+09,1.54E+09,1.56E+09,1.57E+09,1.55E+09,30.85,31.29,30.52,30.54,30.55,30.53,0.59180,0.25598,0.54727,0.35070,0.22385,0.22385,0,0,0,1225,,,
25Vs12.5,Yeast,sp|P38968,2%,2%,2%,1%,1%,0,0,0,0,0,2,2,2,1,1,138720.8, Protein transport protein SEC31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC31 PE=1 SV=3,5.99E+08,6.72E+08,6.77E+08,6.26E+08,5.88E+08,4.64E+08,29.16,29.32,29.34,29.22,29.13,28.79,0.59162,0.25608,0.54705,0.22567,0.08542,0.08542,0,0,0,1226,,,
50Vs0.5,Yeast,sp|P40086,0%,2%,2%,2%,0%,0,0,0,0,0,0,1,1,1,0,54660.5, Cytochrome c oxidase assembly protein COX15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX15 PE=1 SV=1,1.47E+07,3.11E+07,2.84E+07,2.58E+07,2.06E+08,5.35E+07,23.81,24.89,24.76,24.62,27.62,25.67,0.59144,0.25619,0.54683,-1.48103,-1.45411,1.45411,0,0,0,1227,,,
50Vs5,Yeast,sp|P34227,18%,13%,15%,12%,13%,0,0,0,0,0,4,3,3,2,3,29496.7, Mitochondrial peroxiredoxin PRX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRX1 PE=1 SV=1,1.93E+09,2.63E+09,1.54E+09,1.52E+09,1.52E+09,1.62E+09,30.85,31.29,30.52,30.51,30.50,30.59,0.59139,0.25622,0.54645,0.35343,0.18742,0.18742,0,0,0,1228,,,
50Vs0.5,Yeast,sp|Q3E764,0%,20%,20%,0%,0%,0,0,0,0,0,0,1,1,0,0,6941.8, Translation machinery-associated protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA7 PE=1 SV=1,1.70E+08,1.40E+08,1.23E+08,1.42E+08,9.54E+07,1.03E+08,27.34,27.06,26.87,27.09,26.51,26.62,0.59057,0.25670,0.54703,0.35160,0.22468,0.22468,0,0,0,1229,,,
50Vs5,Yeast,sp|P38787,5%,4%,5%,3%,3%,0,0,0,0,0,2,1,2,1,1,42822.4, 2-dehydropantoate 2-reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAN5 PE=1 SV=1,2.19E+08,1.83E+08,1.72E+08,1.87E+08,1.35E+08,1.57E+08,27.70,27.44,27.36,27.48,27.01,27.22,0.59031,0.25685,0.54691,0.26507,0.10048,0.10048,0,0,0,1230,,,
25Vs12.5,Yeast,sp|P00830,35%,37%,35%,36%,36%,0,0,0,0,0,12,14,13,13,13,54794.7," ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",1.50E+10,2.05E+10,1.68E+10,1.61E+10,1.40E+10,1.43E+10,33.81,34.26,33.97,33.90,33.71,33.73,0.58995,0.25707,0.54693,0.22830,0.09036,0.09036,0,0,0,1231,,,
25Vs12.5,Yeast,sp|P40991,0%,0%,4%,0%,0%,0,0,0,0,0,0,0,2,0,0,69814.3, Putative ribosomal RNA methyltransferase Nop2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP2 PE=1 SV=1,4.72E+07,6.25E+07,4.95E+07,4.53E+07,4.52E+07,2.34E+07,25.49,25.90,25.56,25.43,25.43,24.48,0.58915,0.25754,0.54749,0.53553,0.66691,0.66691,0,0,0,1232,,,
